iter	RMSE
268	63.98425061
269	63.66020945
270	63.48198656
271	63.09904864
272	62.77015946
273	62.49027919
274	62.34872544
275	62.00499834
276	61.86673469
277	61.45397716
278	61.21665997
279	60.98360732
280	60.73588339
281	60.39852968
282	60.09120522
283	59.7026743
284	59.30316244
285	58.98514718
286	58.60120963
287	58.41749487
288	58.21986549
289	58.04155447
290	57.66696319
291	57.32872059
292	57.10360194
293	56.98092443
294	56.69612568
295	56.53051037
296	56.39955373
297	56.30501491
298	56.04547213
299	55.82666997
300	55.72341448
301	55.43186295
302	55.3137236
303	55.19540901
304	54.89835176
305	54.6421395
306	54.5153429
307	54.44584746
308	54.22551789
309	53.93358941
310	53.73115923
311	53.40079015
312	53.17751824
313	52.97246903
314	52.76640016
315	52.57267743
316	52.46944275
317	52.20201802
318	52.10345821
319	51.89765035
320	51.58719111
321	51.46439988
322	51.24069845
323	51.05965898
324	50.85684947
325	50.71590186
326	50.51522562
327	50.34274781
328	50.18616438
329	49.96865894
330	49.86870999
331	49.77493349
332	49.60785805
333	49.47069383
334	49.34339431
335	49.27492873
336	49.2091728
337	49.08752556
338	48.89034866
339	48.73248463
340	48.51879761
341	48.41784588
342	48.31578583
343	48.17231763
344	48.01945763
345	47.90628714
346	47.83938702
347	47.72004986
348	47.54621377
349	47.38393611
350	47.3041616
351	47.22708142
352	47.10115233
353	47.01948005
354	46.90606351
355	46.7902784
356	46.64072709
357	46.46308683
358	46.3718373
359	46.31350933
360	46.13960103
361	46.00341588
362	45.87976718
363	45.79217462
364	45.71144645
365	45.60586284
366	45.40905304
367	45.31362604
368	45.22895645
369	45.14999445
370	45.08903166
371	45.00311669
372	44.90094961
373	44.82044075
374	44.71927376
375	44.6639753
376	44.52086528
377	44.40596154
378	44.3527652
379	44.21920849
380	44.0614534
381	44.01406501
382	43.96044835
383	43.88355027
384	43.74770572
385	43.6982487
386	43.6341285
387	43.50444433
388	43.41040993
389	43.36006327
390	43.30069207
391	43.27175412
392	43.15202897
393	43.07058556
394	42.95587128
395	42.87868734
396	42.7814552
397	42.70451548
398	42.62261981
399	42.5012456
400	42.33708461
401	42.23058262
402	42.18253096
403	41.99099131
404	41.85878333
405	41.78473954
406	41.7082277
407	41.6313735
408	41.52337223
409	41.37430254
410	41.23824211
411	41.18238314
412	41.0546635
413	40.98949208
414	40.91457024
415	40.81968987
416	40.73309532
417	40.64048549
418	40.59695497
419	40.55460238
420	40.43726232
421	40.37445106
422	40.22692805
423	40.17042497
424	40.08737379
425	40.04057737
426	39.97618017
427	39.85240619
428	39.80782968
429	39.76657663
430	39.68989497
431	39.60588622
432	39.55319326
433	39.48944331
434	39.41102675
435	39.33852938
436	39.27198668
437	39.23538808
438	39.08577872
439	39.04200318
440	38.99373257
441	38.90618494
442	38.86146238
443	38.81890244
444	38.7635817
445	38.72086239
446	38.61088494
447	38.4997686
448	38.45896127
449	38.34301425
450	38.31745397
451	38.2376717
452	38.1715217
453	38.05955005
454	37.97937302
455	37.92696876
456	37.87626355
457	37.78602173
458	37.7409711
459	37.61737377
460	37.56094475
461	37.48427567
462	37.35743485
463	37.30740319
464	37.26240012
465	37.16845214
466	37.12119642
467	37.05259489
468	37.01386675
469	36.92829944
470	36.83744898
471	36.78263408
472	36.72900752
473	36.66781532
474	36.60305745
475	36.56302729
476	36.51866833
477	36.45178123
478	36.39847732
479	36.3323065
480	36.28541126
481	36.24102152
482	36.20948278
483	36.16116771
484	36.11931615
485	36.04475183
486	35.97877579
487	35.93771145
488	35.86117957
489	35.81939929
490	35.76485822
491	35.71595354
492	35.68032763
493	35.64765907
494	35.58728852
495	35.51915189
496	35.45962512
497	35.35658363
498	35.31368871
499	35.26956964
